CustomerID,Recency,Frequency,Monetary,Cluster
C100005,275,1,2400.68,1
C100006,690,1,322.56,3
C100025,1002,1,143.36,0
C100034,908,1,1200.32,0
C100042,611,1,650.56,3
C100045,428,1,5.23,1
C100066,663,1,322.56,3
C100067,915,1,600.17,0
C100078,690,1,60.6,3
C100088,944,1,5.23,0
C100090,518,1,162.64,3
C100095,449,1,130.75,1
C100096,998,1,2700.7200000000003,0
C100110,697,1,7502.0,3
C100115,484,1,40.66,3
C100121,639,1,11.73,3
C100130,123,1,5401.53,1
C100132,480,1,47.07,3
C100141,456,1,60.6,1
C100148,999,1,2700.7200000000003,0
C100152,549,1,1200.32,3
C100155,275,1,300.08,1
C100156,943,1,83.68,0
C100172,456,1,573.44,1
C100175,784,1,9602.72,2
C100176,726,1,2700.7200000000003,3
C100188,661,1,573.44,3
C100189,216,1,322.56,1
C100199,721,1,16800.0,2
C100201,1025,1,300.08,0
C100218,905,1,7502.0,0
C100232,32,1,600.17,1
C100241,1056,1,650.56,0
C100242,822,1,5.23,0
C100246,782,1,1200.32,0
C100247,576,1,2400.68,3
C100253,875,1,600.17,0
C100256,481,1,47.07,3
C100259,854,1,143.36,0
C100261,357,1,4801.28,1
C100272,640,1,83.68,3
C100273,668,1,300.08,3
C100282,1026,1,1200.32,0
C100286,941,1,4801.28,0
C100291,1002,1,105.57,0
C100297,359,1,365.94,1
C100298,725,1,2700.7200000000003,3
C100307,915,1,300.08,0
C100309,1061,1,1200.32,0
C100311,693,1,650.56,3
C100315,638,1,7502.0,3
C100322,636,1,26250.0,2
C100331,578,1,9602.72,2
C100336,1059,1,2700.7200000000003,0
C100349,944,1,7502.0,0
C100361,608,1,47.07,3
C100364,549,1,7502.0,3
C100376,885,1,136.35000000000002,0
C100379,935,1,2400.68,0
C100384,814,1,242.4,0
C100386,937,1,2700.7200000000003,0
C100403,449,1,7502.0,1
C100410,817,1,2700.7200000000003,0
C100438,1026,1,4801.28,0
C100454,548,1,4801.28,3
C100455,692,1,2700.7200000000003,3
C100471,541,1,365.94,3
C100481,360,1,242.4,1
C100494,945,1,9450.0,2
C100496,545,1,2400.68,3
C100515,364,1,573.44,1
C100521,421,1,322.56,1
C100525,667,1,1200.32,3
C100540,580,1,20.92,3
C100545,155,1,16800.0,2
C100551,216,1,1050.0,1
C100572,392,1,2700.7200000000003,1
C100576,364,1,4801.28,1
C100587,485,1,143.36,3
C100605,787,1,130.75,0
C100630,946,1,5401.53,0
C100636,940,1,896.0,0
C100642,731,1,2400.68,3
C100648,882,1,2700.7200000000003,0
C100651,427,1,1050.0,1
C100654,540,1,2700.7200000000003,3
C100656,458,1,7502.0,1
C100663,965,1,5.23,0
C100666,758,1,143.36,3
C100676,970,1,2700.7200000000003,0
C100690,729,1,9602.72,2
C100694,965,1,83.68,0
C100697,849,1,1016.5,0
C100709,365,1,15004.25,2
C100710,996,1,242.4,0
C100718,516,1,573.44,3
C100720,153,1,2700.7200000000003,1
C100746,576,1,143.36,3
C100748,428,1,600.17,1
C100754,449,1,650.56,1
C100758,641,1,2700.7200000000003,3
C100765,814,1,40.66,0
C100786,579,1,1200.32,3
C100797,386,1,5401.53,1
C100801,244,1,1016.5,1
C100804,334,1,40.66,1
C100840,965,1,4801.28,0
C100841,669,1,1200.32,3
C100851,513,1,2700.7200000000003,3
C100867,662,1,4801.28,3
C100885,488,1,83.68,3
C100894,122,1,1200.32,1
C100900,936,1,162.64,0
C100902,1026,1,600.17,0
C100911,1001,1,4801.28,0
C100931,390,1,300.08,1
C100940,668,1,1200.32,3
C100944,906,1,1200.32,0
C100948,450,1,365.94,1
C100955,246,1,105.57,1
C100979,482,1,4801.28,3
C100986,971,1,4801.28,0
C100994,913,1,1016.5,0
C101001,395,1,1200.32,1
C101002,762,1,4801.28,3
C101014,970,1,300.08,0
C101018,784,1,300.08,0
C101035,823,1,136.35000000000002,0
C101038,1007,1,1200.32,0
C101041,727,1,16800.0,2
C101055,665,1,378.75,3
C101061,362,1,1200.32,1
C101064,696,1,1200.32,3
C101067,570,1,4801.28,3
C101068,275,1,896.0,1
C101072,853,1,600.17,0
C101078,543,1,5.23,3
C101079,936,1,1016.5,0
C101080,422,1,7502.0,1
C101095,908,1,650.56,0
C101097,514,1,1016.5,3
C101108,907,1,600.17,0
C101119,973,1,573.44,0
C101143,246,1,7502.0,1
C101188,546,1,600.17,3
C101196,578,1,650.56,3
C101205,601,1,4801.28,3
C101208,690,1,40.66,3
C101209,812,1,9450.0,2
C101210,848,1,4200.0,0
C101212,854,1,162.64,0
C101216,424,1,26250.0,2
C101217,548,1,20.92,3
C101220,883,1,7502.0,0
C101227,631,1,2700.7200000000003,3
C101249,386,1,46.92,1
C101259,974,1,46.92,0
C101261,420,1,1016.5,1
C101285,875,1,162.64,0
C101287,397,1,300.08,1
C101288,453,1,322.56,1
C101295,792,1,20.92,0
C101303,1005,1,5401.53,0
C101308,512,1,4801.28,3
C101314,814,1,1016.5,0
C101327,637,1,9602.72,2
C101337,539,1,4801.28,3
C101347,880,1,60.6,0
C101356,303,1,300.08,1
C101359,660,1,4801.28,3
C101362,843,1,573.44,0
C101364,572,1,4801.28,3
C101367,695,1,162.64,3
C101368,393,1,300.08,1
C101370,487,1,20.92,3
C101375,516,1,130.75,3
C101377,304,1,130.75,1
C101382,878,1,20.92,0
C101384,997,1,1200.32,0
C101391,756,1,1016.5,3
C101393,570,1,2700.7200000000003,3
C101401,541,1,1050.0,3
C101404,760,1,4200.0,3
C101411,785,1,1016.5,0
C101412,573,1,2700.7200000000003,3
C101414,124,1,650.56,1
C101420,965,1,2700.7200000000003,0
C101422,572,1,322.56,3
C101423,550,1,2700.7200000000003,3
C101425,723,1,2400.68,3
C101428,732,1,15004.25,2
C101429,515,1,2700.7200000000003,3
C101472,970,1,40.66,0
C101475,518,1,5.23,3
C101478,760,1,4801.28,3
C101509,1056,1,322.56,0
C101522,874,1,20.92,0
C101546,636,1,5.23,3
C101550,397,1,2400.68,1
C101556,665,1,2700.7200000000003,3
C101564,454,1,83.68,1
C101576,667,1,1200.32,3
C101579,641,1,365.94,3
